a,b,c
"{""name"":""YPR145W"",""GeneID"":2}","{""name"":""YPR147C"",""GeneID"":3}","{""name"":""YPR167C"",""GeneID"":9}"
"{""name"":""YPR145W"",""GeneID"":2}","{""name"":""YPR147C"",""GeneID"":3}","{""name"":""YPR169W"",""GeneID"":10}"
"{""name"":""YPR145W"",""GeneID"":2}","{""name"":""YPR147C"",""GeneID"":3}","{""name"":""YPR153W"",""GeneID"":6}"
"{""name"":""YPR145W"",""GeneID"":2}","{""name"":""YPR147C"",""GeneID"":3}","{""name"":""YPR165W"",""GeneID"":8}"
"{""name"":""YPR145W"",""GeneID"":2}","{""name"":""YPR147C"",""GeneID"":3}","{""name"":""YPR149W"",""GeneID"":4}"
"{""name"":""YPR145W"",""GeneID"":2}","{""name"":""YPR147C"",""GeneID"":3}","{""name"":""YPR151C"",""GeneID"":5}"
"{""name"":""YPR145W"",""GeneID"":2}","{""name"":""YPR149W"",""GeneID"":4}","{""name"":""YPR151C"",""GeneID"":5}"
"{""name"":""YPR145W"",""GeneID"":2}","{""name"":""YPR149W"",""GeneID"":4}","{""name"":""YPR153W"",""GeneID"":6}"
"{""name"":""YPR145W"",""GeneID"":2}","{""name"":""YPR149W"",""GeneID"":4}","{""name"":""YPR165W"",""GeneID"":8}"
"{""name"":""YPR145W"",""GeneID"":2}","{""name"":""YPR149W"",""GeneID"":4}","{""name"":""YPR167C"",""GeneID"":9}"
"{""name"":""YPR145W"",""GeneID"":2}","{""name"":""YPR149W"",""GeneID"":4}","{""name"":""YPR169W"",""GeneID"":10}"
"{""name"":""YPR145W"",""GeneID"":2}","{""name"":""YPR151C"",""GeneID"":5}","{""name"":""YPR165W"",""GeneID"":8}"
"{""name"":""YPR145W"",""GeneID"":2}","{""name"":""YPR151C"",""GeneID"":5}","{""name"":""YPR153W"",""GeneID"":6}"
"{""name"":""YPR145W"",""GeneID"":2}","{""name"":""YPR151C"",""GeneID"":5}","{""name"":""YPR169W"",""GeneID"":10}"
"{""name"":""YPR145W"",""GeneID"":2}","{""name"":""YPR153W"",""GeneID"":6}","{""name"":""YPR169W"",""GeneID"":10}"
"{""name"":""YPR145W"",""GeneID"":2}","{""name"":""YPR153W"",""GeneID"":6}","{""name"":""YPR167C"",""GeneID"":9}"
"{""name"":""YPR145W"",""GeneID"":2}","{""name"":""YPR153W"",""GeneID"":6}","{""name"":""YPR165W"",""GeneID"":8}"
"{""name"":""YPR145W"",""GeneID"":2}","{""name"":""YPR165W"",""GeneID"":8}","{""name"":""YPR167C"",""GeneID"":9}"
"{""name"":""YPR145W"",""GeneID"":2}","{""name"":""YPR165W"",""GeneID"":8}","{""name"":""YPR169W"",""GeneID"":10}"
"{""name"":""YPR145W"",""GeneID"":2}","{""name"":""YPR167C"",""GeneID"":9}","{""name"":""YPR169W"",""GeneID"":10}"
"{""name"":""YPR147C"",""GeneID"":3}","{""name"":""YPR149W"",""GeneID"":4}","{""name"":""YPR151C"",""GeneID"":5}"
"{""name"":""YPR147C"",""GeneID"":3}","{""name"":""YPR149W"",""GeneID"":4}","{""name"":""YPR153W"",""GeneID"":6}"
"{""name"":""YPR147C"",""GeneID"":3}","{""name"":""YPR149W"",""GeneID"":4}","{""name"":""YPR165W"",""GeneID"":8}"
"{""name"":""YPR147C"",""GeneID"":3}","{""name"":""YPR149W"",""GeneID"":4}","{""name"":""YPR167C"",""GeneID"":9}"
"{""name"":""YPR147C"",""GeneID"":3}","{""name"":""YPR149W"",""GeneID"":4}","{""name"":""YPR169W"",""GeneID"":10}"
"{""name"":""YPR147C"",""GeneID"":3}","{""name"":""YPR151C"",""GeneID"":5}","{""name"":""YPR165W"",""GeneID"":8}"
"{""name"":""YPR147C"",""GeneID"":3}","{""name"":""YPR151C"",""GeneID"":5}","{""name"":""YPR153W"",""GeneID"":6}"
"{""name"":""YPR147C"",""GeneID"":3}","{""name"":""YPR151C"",""GeneID"":5}","{""name"":""YPR169W"",""GeneID"":10}"
"{""name"":""YPR147C"",""GeneID"":3}","{""name"":""YPR153W"",""GeneID"":6}","{""name"":""YPR169W"",""GeneID"":10}"
"{""name"":""YPR147C"",""GeneID"":3}","{""name"":""YPR153W"",""GeneID"":6}","{""name"":""YPR167C"",""GeneID"":9}"
"{""name"":""YPR147C"",""GeneID"":3}","{""name"":""YPR153W"",""GeneID"":6}","{""name"":""YPR165W"",""GeneID"":8}"
"{""name"":""YPR147C"",""GeneID"":3}","{""name"":""YPR165W"",""GeneID"":8}","{""name"":""YPR167C"",""GeneID"":9}"
"{""name"":""YPR147C"",""GeneID"":3}","{""name"":""YPR165W"",""GeneID"":8}","{""name"":""YPR169W"",""GeneID"":10}"
"{""name"":""YPR147C"",""GeneID"":3}","{""name"":""YPR167C"",""GeneID"":9}","{""name"":""YPR169W"",""GeneID"":10}"
"{""name"":""YPR149W"",""GeneID"":4}","{""name"":""YPR151C"",""GeneID"":5}","{""name"":""YPR163C"",""GeneID"":7}"
"{""name"":""YPR149W"",""GeneID"":4}","{""name"":""YPR151C"",""GeneID"":5}","{""name"":""YPR165W"",""GeneID"":8}"
"{""name"":""YPR149W"",""GeneID"":4}","{""name"":""YPR151C"",""GeneID"":5}","{""name"":""YPR153W"",""GeneID"":6}"
"{""name"":""YPR149W"",""GeneID"":4}","{""name"":""YPR151C"",""GeneID"":5}","{""name"":""YPR169W"",""GeneID"":10}"
"{""name"":""YPR149W"",""GeneID"":4}","{""name"":""YPR153W"",""GeneID"":6}","{""name"":""YPR169W"",""GeneID"":10}"
"{""name"":""YPR149W"",""GeneID"":4}","{""name"":""YPR153W"",""GeneID"":6}","{""name"":""YPR167C"",""GeneID"":9}"
"{""name"":""YPR149W"",""GeneID"":4}","{""name"":""YPR153W"",""GeneID"":6}","{""name"":""YPR165W"",""GeneID"":8}"
"{""name"":""YPR149W"",""GeneID"":4}","{""name"":""YPR153W"",""GeneID"":6}","{""name"":""YPR163C"",""GeneID"":7}"
"{""name"":""YPR149W"",""GeneID"":4}","{""name"":""YPR163C"",""GeneID"":7}","{""name"":""YPR169W"",""GeneID"":10}"
"{""name"":""YPR149W"",""GeneID"":4}","{""name"":""YPR163C"",""GeneID"":7}","{""name"":""YPR165W"",""GeneID"":8}"
"{""name"":""YPR149W"",""GeneID"":4}","{""name"":""YPR163C"",""GeneID"":7}","{""name"":""YPR167C"",""GeneID"":9}"
"{""name"":""YPR149W"",""GeneID"":4}","{""name"":""YPR165W"",""GeneID"":8}","{""name"":""YPR167C"",""GeneID"":9}"
"{""name"":""YPR149W"",""GeneID"":4}","{""name"":""YPR165W"",""GeneID"":8}","{""name"":""YPR169W"",""GeneID"":10}"
"{""name"":""YPR149W"",""GeneID"":4}","{""name"":""YPR167C"",""GeneID"":9}","{""name"":""YPR169W"",""GeneID"":10}"
"{""name"":""YPR151C"",""GeneID"":5}","{""name"":""YPR153W"",""GeneID"":6}","{""name"":""YPR169W"",""GeneID"":10}"
"{""name"":""YPR151C"",""GeneID"":5}","{""name"":""YPR153W"",""GeneID"":6}","{""name"":""YPR165W"",""GeneID"":8}"
"{""name"":""YPR151C"",""GeneID"":5}","{""name"":""YPR153W"",""GeneID"":6}","{""name"":""YPR163C"",""GeneID"":7}"
"{""name"":""YPR151C"",""GeneID"":5}","{""name"":""YPR163C"",""GeneID"":7}","{""name"":""YPR169W"",""GeneID"":10}"
"{""name"":""YPR151C"",""GeneID"":5}","{""name"":""YPR163C"",""GeneID"":7}","{""name"":""YPR165W"",""GeneID"":8}"
"{""name"":""YPR151C"",""GeneID"":5}","{""name"":""YPR165W"",""GeneID"":8}","{""name"":""YPR169W"",""GeneID"":10}"
"{""name"":""YPR153W"",""GeneID"":6}","{""name"":""YPR163C"",""GeneID"":7}","{""name"":""YPR169W"",""GeneID"":10}"
"{""name"":""YPR153W"",""GeneID"":6}","{""name"":""YPR163C"",""GeneID"":7}","{""name"":""YPR165W"",""GeneID"":8}"
"{""name"":""YPR153W"",""GeneID"":6}","{""name"":""YPR163C"",""GeneID"":7}","{""name"":""YPR167C"",""GeneID"":9}"
"{""name"":""YPR153W"",""GeneID"":6}","{""name"":""YPR165W"",""GeneID"":8}","{""name"":""YPR167C"",""GeneID"":9}"
"{""name"":""YPR153W"",""GeneID"":6}","{""name"":""YPR165W"",""GeneID"":8}","{""name"":""YPR169W"",""GeneID"":10}"
"{""name"":""YPR153W"",""GeneID"":6}","{""name"":""YPR167C"",""GeneID"":9}","{""name"":""YPR169W"",""GeneID"":10}"
