1002,YER061C,0.965784939,1003,YER074W
1006,YER080W,0.929607849,1007,YER082C
100,YDR258C,0.979703677,101,YDR260C
100,YDR258C,0.961706531,102,YDR261C-C
100,YDR258C,0.985555549,103,YDR272W
100,YDR258C,0.954829285,104,YDR274C
100,YDR258C,0.989279867,105,YDR276C
100,YDR258C,0.977156563,106,YDR278C
1015,YGL079W,0.920972000,1016,YGL081W
1015,YGL079W,0.953318480,1018,YGL085W
1015,YGL079W,0.892162428,1021,YGL103W
1015,YGL079W,0.963716418,1022,YGL105W
1016,YGL081W,0.927004013,1018,YGL085W
1016,YGL081W,0.976189770,1022,YGL105W
1016,YGL081W,0.887698319,1023,YGL107C
1018,YGL085W,0.944707455,1022,YGL105W
1018,YGL085W,0.896045884,1023,YGL107C
1019,YGL087C,0.925949507,1021,YGL103W
1019,YGL087C,0.918369217,1022,YGL105W
101,YDR260C,0.976042418,102,YDR261C-C
101,YDR260C,0.986730262,103,YDR272W
101,YDR260C,0.962098694,104,YDR274C
101,YDR260C,0.993890297,105,YDR276C
101,YDR260C,0.990874406,106,YDR278C
1021,YGL103W,0.905970740,1022,YGL105W
1022,YGL105W,0.878805828,1023,YGL107C
1025,YGL111W,0.978354736,1026,YGL113W
1025,YGL111W,0.942644121,1027,YGL127C
1026,YGL113W,0.938196796,1027,YGL127C
102,YDR261C-C,0.983405610,103,YDR272W
102,YDR261C-C,0.928162336,104,YDR274C
102,YDR261C-C,0.960497046,105,YDR276C
102,YDR261C-C,0.959487803,106,YDR278C
1031,YGL135W,0.904848053,1032,YGL137W
1031,YGL135W,0.930694463,1033,YGR164W
1031,YGL135W,0.936774892,1035,YGR168C
1031,YGL135W,0.904094011,1036,YGR170W
1031,YGL135W,0.914004759,1037,YGR172C
1031,YGL135W,0.941065338,1038,YGR174C
1031,YGL135W,0.921707935,1039,YGR188C
1032,YGL137W,0.977177568,1033,YGR164W
1032,YGL137W,0.975179161,1035,YGR168C
1032,YGL137W,0.901129311,1036,YGR170W
1032,YGL137W,0.888589527,1037,YGR172C
1032,YGL137W,0.951449242,1038,YGR174C
1032,YGL137W,0.907761479,1039,YGR188C
1033,YGR164W,0.955821489,1035,YGR168C
